index,id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,person_id,name,character,role,credit_count
43739,tm319477,Rodney King,MOVIE,2017,NR,52,"['crime', 'comedy', 'drama', 'history', 'documentation']",['US'],tt6624312,6.0,601.0,2.444,5.2,31566,Spike Lee,Unavailable,DIRECTOR,5
43740,tm433215,Exes Baggage,MOVIE,2018,NR,104,"['drama', 'romance']",['PH'],tt8835552,6.0,267.0,1.256,8.2,171012,Angelica Panganiban,Pia,ACTOR,5
43741,tm433215,Exes Baggage,MOVIE,2018,NR,104,"['drama', 'romance']",['PH'],tt8835552,6.0,267.0,1.256,8.2,242654,Carlo Aquino,Nix,ACTOR,4
43743,tm433215,Exes Baggage,MOVIE,2018,NR,104,"['drama', 'romance']",['PH'],tt8835552,6.0,267.0,1.256,8.2,158917,Joem Bascon,Migs,ACTOR,4
43745,tm433215,Exes Baggage,MOVIE,2018,NR,104,"['drama', 'romance']",['PH'],tt8835552,6.0,267.0,1.256,8.2,192301,Dan Villegas,Unavailable,DIRECTOR,3
43746,tm456983,Mauli,MOVIE,2018,NR,134,"['drama', 'action']",['IN'],tt8826936,6.0,362.0,1.291,5.0,64747,Ritesh Deshmukh,Mauli,ACTOR,9
43748,tm456983,Mauli,MOVIE,2018,NR,134,"['drama', 'action']",['IN'],tt8826936,6.0,362.0,1.291,5.0,160260,Saiyami Kher,Renuka,ACTOR,3
43750,tm456983,Mauli,MOVIE,2018,NR,134,"['drama', 'action']",['IN'],tt8826936,6.0,362.0,1.291,5.0,61710,Genelia D'Souza,Unavailable,ACTOR,5
43757,tm456983,Mauli,MOVIE,2018,NR,134,"['drama', 'action']",['IN'],tt8826936,6.0,362.0,1.291,5.0,340967,Girija Oak,Unavailable,ACTOR,3
43761,tm320756,Tracy Morgan: Staying Alive,MOVIE,2017,NR,60,['comedy'],['XX'],tt6680270,6.0,1202.0,3.558,6.4,8985,Tracy Morgan,Himself,ACTOR,6
43762,tm320756,Tracy Morgan: Staying Alive,MOVIE,2017,NR,60,['comedy'],['XX'],tt6680270,6.0,1202.0,3.558,6.4,159658,Ryan Polito,Unavailable,DIRECTOR,9
43772,tm413266,Pup Star: World Tour,MOVIE,2018,G,87,"['comedy', 'family']","['CA', 'JP', 'US']",tt7322864,4.0,207.0,5.884,5.7,4680,Diedrich Bader,Kano (voice),ACTOR,4
43775,tm413266,Pup Star: World Tour,MOVIE,2018,G,87,"['comedy', 'family']","['CA', 'JP', 'US']",tt7322864,4.0,207.0,5.884,5.7,49338,David DeLuise,Steven,ACTOR,3
43778,tm413266,Pup Star: World Tour,MOVIE,2018,G,87,"['comedy', 'family']","['CA', 'JP', 'US']",tt7322864,4.0,207.0,5.884,5.7,25746,Kaitlyn Maher,Tiny (voice),ACTOR,3
43780,tm413266,Pup Star: World Tour,MOVIE,2018,G,87,"['comedy', 'family']","['CA', 'JP', 'US']",tt7322864,4.0,207.0,5.884,5.7,842534,Mackenzie Sol,P.U.P. (voice),ACTOR,3
43782,tm413266,Pup Star: World Tour,MOVIE,2018,G,87,"['comedy', 'family']","['CA', 'JP', 'US']",tt7322864,4.0,207.0,5.884,5.7,6584,Steve Valentine,Simon Growl (voice),ACTOR,3
43783,tm413266,Pup Star: World Tour,MOVIE,2018,G,87,"['comedy', 'family']","['CA', 'JP', 'US']",tt7322864,4.0,207.0,5.884,5.7,1700718,Denisse Ojeda,Ida,ACTOR,3
43784,tm413266,Pup Star: World Tour,MOVIE,2018,G,87,"['comedy', 'family']","['CA', 'JP', 'US']",tt7322864,4.0,207.0,5.884,5.7,29739,Robert Vince,Unavailable,DIRECTOR,3
43793,tm325610,Chris D'Elia: Man on Fire,MOVIE,2017,NR,65,"['comedy', 'documentation']",['US'],tt7068896,6.0,1720.0,2.801,6.2,91144,Chris D'Elia,Himself,ACTOR,5
43796,tm1063790,A Man for The Weekend,MOVIE,2017,NR,94,"['romance', 'comedy']",['CM'],tt15007420,4.0,11.0,1.674,2.0,679083,Alexx Ekubo,Unavailable,ACTOR,3
43806,tm358239,DeRay Davis: How to Act Black,MOVIE,2017,PG,66,['comedy'],['US'],tt7288084,6.0,427.0,3.191,6.1,21647,DeRay Davis,Artist,ACTOR,3
43807,tm358239,DeRay Davis: How to Act Black,MOVIE,2017,PG,66,['comedy'],['US'],tt7288084,6.0,427.0,3.191,6.1,37676,Marcus Raboy,Unavailable,DIRECTOR,15
43809,tm354136,"El Especial de Alex Fernández, el Especial",MOVIE,2017,NR,52,['comedy'],['MX'],tt7520228,7.0,73.0,0.6,6.7,211560,Raúl Campos,Unavailable,DIRECTOR,21
43810,tm354136,"El Especial de Alex Fernández, el Especial",MOVIE,2017,NR,52,['comedy'],['MX'],tt7520228,7.0,73.0,0.6,6.7,590250,Jan Suter,Unavailable,DIRECTOR,20
43820,tm350945,Posesif,MOVIE,2017,NR,102,"['drama', 'comedy', 'romance']",['ID'],tt8425410,7.0,920.0,2.403,7.8,265449,Adipati Dolken,Yudhis,ACTOR,5
43824,tm350945,Posesif,MOVIE,2017,NR,102,"['drama', 'comedy', 'romance']",['ID'],tt8425410,7.0,920.0,2.403,7.8,289150,Yayu A.W. Unru,Lala's Dad,ACTOR,4
43826,tm350945,Posesif,MOVIE,2017,NR,102,"['drama', 'comedy', 'romance']",['ID'],tt8425410,7.0,920.0,2.403,7.8,113012,Edwin,Unavailable,DIRECTOR,3
43839,tm370781,Natalia Valdebenito: El especial,MOVIE,2018,NR,76,['comedy'],['CL'],tt7663776,5.0,82.0,1.874,7.3,211560,Raúl Campos,Unavailable,DIRECTOR,21
43840,tm370781,Natalia Valdebenito: El especial,MOVIE,2018,NR,76,['comedy'],['CL'],tt7663776,5.0,82.0,1.874,7.3,590250,Jan Suter,Unavailable,DIRECTOR,20
43842,tm376709,Jani Dueñas: Grandes fracasos de ayer y hoy,MOVIE,2018,NR,77,['comedy'],"['CL', 'MX', 'US']",tt7607260,5.0,71.0,1.815,6.0,211560,Raúl Campos,Unavailable,DIRECTOR,21
43843,tm376709,Jani Dueñas: Grandes fracasos de ayer y hoy,MOVIE,2018,NR,77,['comedy'],"['CL', 'MX', 'US']",tt7607260,5.0,71.0,1.815,6.0,590250,Jan Suter,Unavailable,DIRECTOR,20
43844,tm328041,Doob,MOVIE,2017,NR,102,['drama'],"['IN', 'BD']",tt5513920,6.0,1863.0,2.045,5.7,4047,Irrfan Khan,Javed Hasan,ACTOR,10
43857,tm358370,Love and Shukla,MOVIE,2017,NR,117,"['romance', 'comedy', 'drama']",['IN'],tt7647198,7.0,933.0,1.418,8.2,276232,Saharsh Kumar Shukla,Manu Shukla,ACTOR,3
43868,tm367105,Alejandro Riaño: Especial de stand up,MOVIE,2018,NR,60,['comedy'],['CO'],tt7607558,5.0,69.0,1.132,5.0,590250,Jan Suter,Unavailable,DIRECTOR,20
43869,tm367105,Alejandro Riaño: Especial de stand up,MOVIE,2018,NR,60,['comedy'],['CO'],tt7607558,5.0,69.0,1.132,5.0,211560,Raúl Campos,Unavailable,DIRECTOR,21
43870,tm289882,Birdshot,MOVIE,2017,NR,116,"['thriller', 'drama']",['PH'],tt6159150,7.0,781.0,3.189,6.5,736704,Mary Joy Apostol,Maya,ACTOR,3
43872,tm289882,Birdshot,MOVIE,2017,NR,116,"['thriller', 'drama']",['PH'],tt6159150,7.0,781.0,3.189,6.5,6371,John Arcilla,Mendoza,ACTOR,5
43873,tm289882,Birdshot,MOVIE,2017,NR,116,"['thriller', 'drama']",['PH'],tt6159150,7.0,781.0,3.189,6.5,176666,Arnold Reyes,Domingo,ACTOR,4
43877,tm370472,Kavin Jay : Everybody Calm Down!,MOVIE,2018,NR,53,"['comedy', 'documentation']",['XX'],tt7924764,6.0,232.0,1.431,4.6,318559,Michael McKay,Unavailable,DIRECTOR,3
43879,tm369453,Mau Nieto: viviendo sobrio… desde el bar,MOVIE,2018,NR,57,['comedy'],['MX'],tt7607492,7.0,80.0,1.414,6.2,211560,Raúl Campos,Unavailable,DIRECTOR,21
43880,tm369453,Mau Nieto: viviendo sobrio… desde el bar,MOVIE,2018,NR,57,['comedy'],['MX'],tt7607492,7.0,80.0,1.414,6.2,590250,Jan Suter,Unavailable,DIRECTOR,20
43883,tm426367,Coco y Raulito: Carrusel de ternura,MOVIE,2018,PG-13,56,['comedy'],['MX'],tt7607498,7.0,39.0,1.4,7.0,211560,Raúl Campos,Unavailable,DIRECTOR,21
43884,tm426367,Coco y Raulito: Carrusel de ternura,MOVIE,2018,PG-13,56,['comedy'],['MX'],tt7607498,7.0,39.0,1.4,7.0,590250,Jan Suter,Unavailable,DIRECTOR,20
43885,tm438005,First Love,MOVIE,2018,NR,122,"['drama', 'romance']",['PH'],tt9060390,6.0,149.0,1.572,5.9,140443,Bea Alonzo,Ali,ACTOR,8
